{'loss': 4.5677, 'grad_norm': 1.8173993825912476, 'learning_rate': 0.0, 'epoch': 0.01}
{'loss': 1.4361, 'grad_norm': 0.6061820983886719, 'learning_rate': 0.0001961456102783726, 'epoch': 0.66}
{'loss': 1.303, 'grad_norm': 0.6479933261871338, 'learning_rate': 0.00019605995717344755, 'epoch': 0.67}
{'loss': 1.3829, 'grad_norm': 0.6051550507545471, 'learning_rate': 0.0001959743040685225, 'epoch': 0.69}
{'loss': 1.3813, 'grad_norm': 0.6924992799758911, 'learning_rate': 0.00019588865096359744, 'epoch': 0.7}
{'loss': 1.3283, 'grad_norm': 0.6076197028160095, 'learning_rate': 0.00019580299785867237, 'epoch': 0.71}
{'loss': 1.4575, 'grad_norm': 0.6626898050308228, 'learning_rate': 0.00019571734475374732, 'epoch': 0.72}
{'loss': 1.3623, 'grad_norm': 0.6708343029022217, 'learning_rate': 0.00019563169164882227, 'epoch': 0.74}
{'loss': 1.3741, 'grad_norm': 0.6398346424102783, 'learning_rate': 0.00019554603854389724, 'epoch': 0.75}
{'loss': 1.4445, 'grad_norm': 0.652418315410614, 'learning_rate': 0.0001954603854389722, 'epoch': 0.76}
{'loss': 1.2674, 'grad_norm': 0.6141340732574463, 'learning_rate': 0.00019537473233404714, 'epoch': 0.78}
{'loss': 1.289, 'grad_norm': 0.5879150032997131, 'learning_rate': 0.00019528907922912206, 'epoch': 0.79}
{'loss': 1.3585, 'grad_norm': 0.5224332809448242, 'learning_rate': 0.000195203426124197, 'epoch': 0.8}
{'loss': 1.3047, 'grad_norm': 0.5961319208145142, 'learning_rate': 0.00019511777301927196, 'epoch': 0.82}
{'loss': 1.3686, 'grad_norm': 0.5300926566123962, 'learning_rate': 0.0001950321199143469, 'epoch': 0.83}
{'loss': 1.4287, 'grad_norm': 0.5778933167457581, 'learning_rate': 0.00019494646680942186, 'epoch': 0.84}
{'loss': 1.3652, 'grad_norm': 0.5711424350738525, 'learning_rate': 0.0001948608137044968, 'epoch': 0.85}
{'loss': 1.2035, 'grad_norm': 0.582330584526062, 'learning_rate': 0.00019477516059957176, 'epoch': 0.87}
{'loss': 1.4373, 'grad_norm': 0.6255040168762207, 'learning_rate': 0.00019468950749464668, 'epoch': 0.88}
{'loss': 1.2572, 'grad_norm': 0.5856133103370667, 'learning_rate': 0.00019460385438972163, 'epoch': 0.89}
{'loss': 1.3316, 'grad_norm': 0.6189621090888977, 'learning_rate': 0.00019451820128479658, 'epoch': 0.91}
{'loss': 1.7798, 'grad_norm': 0.831165075302124, 'learning_rate': 0.00019443254817987153, 'epoch': 0.92}
{'loss': 1.2679, 'grad_norm': 0.5915852785110474, 'learning_rate': 0.00019434689507494648, 'epoch': 0.93}
{'loss': 1.2453, 'grad_norm': 0.5767002105712891, 'learning_rate': 0.00019426124197002143, 'epoch': 0.94}
{'loss': 1.3548, 'grad_norm': 0.620236337184906, 'learning_rate': 0.00019417558886509638, 'epoch': 0.96}
{'loss': 1.3385, 'grad_norm': 0.576115071773529, 'learning_rate': 0.00019408993576017133, 'epoch': 0.97}
{'loss': 1.1155, 'grad_norm': 0.5838946104049683, 'learning_rate': 0.00019400428265524625, 'epoch': 0.98}
{'loss': 1.2702, 'grad_norm': 0.6430805921554565, 'learning_rate': 0.0001939186295503212, 'epoch': 1.0}
{'loss': 1.3012, 'grad_norm': 1.7292234897613525, 'learning_rate': 0.00019383297644539615, 'epoch': 1.0}
{'loss': 1.0951, 'grad_norm': 0.7021451592445374, 'learning_rate': 0.0001937473233404711, 'epoch': 1.01}
{'loss': 0.9804, 'grad_norm': 0.5616861581802368, 'learning_rate': 0.00019366167023554605, 'epoch': 1.03}
{'loss': 0.9304, 'grad_norm': 0.6186869144439697, 'learning_rate': 0.000193576017130621, 'epoch': 1.04}
{'loss': 0.9649, 'grad_norm': 0.6852896809577942, 'learning_rate': 0.00019349036402569595, 'epoch': 1.05}
{'loss': 1.1354, 'grad_norm': 0.7158708572387695, 'learning_rate': 0.0001934047109207709, 'epoch': 1.06}
{'loss': 1.0868, 'grad_norm': 0.7876871228218079, 'learning_rate': 0.00019331905781584582, 'epoch': 1.08}
{'loss': 1.1284, 'grad_norm': 0.755069375038147, 'learning_rate': 0.00019323340471092077, 'epoch': 1.09}
{'loss': 0.9235, 'grad_norm': 0.7004662752151489, 'learning_rate': 0.00019314775160599572, 'epoch': 1.1}
{'loss': 0.9977, 'grad_norm': 0.7840606570243835, 'learning_rate': 0.00019306209850107067, 'epoch': 1.12}
{'loss': 1.0206, 'grad_norm': 0.9863290786743164, 'learning_rate': 0.00019297644539614561, 'epoch': 1.13}
{'loss': 0.9857, 'grad_norm': 0.8005513548851013, 'learning_rate': 0.00019289079229122056, 'epoch': 1.14}
{'loss': 0.9628, 'grad_norm': 0.8273524641990662, 'learning_rate': 0.0001928051391862955, 'epoch': 1.16}
{'loss': 0.8497, 'grad_norm': 0.7032513618469238, 'learning_rate': 0.00019271948608137044, 'epoch': 1.17}
{'loss': 1.0081, 'grad_norm': 0.7658804655075073, 'learning_rate': 0.0001926338329764454, 'epoch': 1.18}
{'loss': 1.002, 'grad_norm': 0.9305078983306885, 'learning_rate': 0.00019254817987152036, 'epoch': 1.19}
{'loss': 1.1676, 'grad_norm': 0.8174846768379211, 'learning_rate': 0.0001924625267665953, 'epoch': 1.21}
{'loss': 1.0013, 'grad_norm': 0.8209248781204224, 'learning_rate': 0.00019237687366167026, 'epoch': 1.22}
{'loss': 0.9236, 'grad_norm': 0.8508214354515076, 'learning_rate': 0.0001922912205567452, 'epoch': 1.23}
{'loss': 1.1569, 'grad_norm': 0.8340125679969788, 'learning_rate': 0.00019220556745182016, 'epoch': 1.25}
{'loss': 1.0476, 'grad_norm': 0.7717123627662659, 'learning_rate': 0.00019211991434689508, 'epoch': 1.26}
{'loss': 0.8695, 'grad_norm': 0.8247961401939392, 'learning_rate': 0.00019203426124197003, 'epoch': 1.27}
{'loss': 1.0785, 'grad_norm': 0.9323199987411499, 'learning_rate': 0.00019194860813704498, 'epoch': 1.28}
{'loss': 1.0801, 'grad_norm': 0.9224483370780945, 'learning_rate': 0.00019186295503211993, 'epoch': 1.3}
{'loss': 1.0521, 'grad_norm': 0.9408844113349915, 'learning_rate': 0.00019177730192719488, 'epoch': 1.31}
{'loss': 0.8505, 'grad_norm': 0.8669354915618896, 'learning_rate': 0.00019169164882226983, 'epoch': 1.32}
{'loss': 0.9786, 'grad_norm': 0.9461589455604553, 'learning_rate': 0.00019160599571734478, 'epoch': 1.34}
{'loss': 0.9585, 'grad_norm': 0.9563205242156982, 'learning_rate': 0.0001915203426124197, 'epoch': 1.35}
{'loss': 0.9395, 'grad_norm': 0.9359564185142517, 'learning_rate': 0.00019143468950749465, 'epoch': 1.36}
{'loss': 0.8712, 'grad_norm': 0.8147068023681641, 'learning_rate': 0.0001913490364025696, 'epoch': 1.38}
{'loss': 0.9269, 'grad_norm': 0.9606706500053406, 'learning_rate': 0.00019126338329764455, 'epoch': 1.39}
{'loss': 1.0868, 'grad_norm': 0.9335603713989258, 'learning_rate': 0.0001911777301927195, 'epoch': 1.4}
{'loss': 1.0626, 'grad_norm': 0.8817481398582458, 'learning_rate': 0.00019109207708779445, 'epoch': 1.41}
{'loss': 1.0529, 'grad_norm': 0.9935446977615356, 'learning_rate': 0.0001910064239828694, 'epoch': 1.43}
{'loss': 0.9216, 'grad_norm': 0.8392483592033386, 'learning_rate': 0.00019092077087794435, 'epoch': 1.44}
{'loss': 1.0566, 'grad_norm': 0.936006486415863, 'learning_rate': 0.00019083511777301927, 'epoch': 1.45}
{'loss': 1.0029, 'grad_norm': 0.8850175142288208, 'learning_rate': 0.00019074946466809422, 'epoch': 1.47}
{'loss': 0.9721, 'grad_norm': 0.8568277359008789, 'learning_rate': 0.00019066381156316917, 'epoch': 1.48}
{'loss': 0.9623, 'grad_norm': 0.8933489918708801, 'learning_rate': 0.00019057815845824412, 'epoch': 1.49}
{'loss': 0.8535, 'grad_norm': 0.8044931292533875, 'learning_rate': 0.00019049250535331907, 'epoch': 1.5}
{'loss': 0.9289, 'grad_norm': 0.8168818354606628, 'learning_rate': 0.00019040685224839401, 'epoch': 1.52}
{'loss': 0.8403, 'grad_norm': 0.7964106202125549, 'learning_rate': 0.00019032119914346896, 'epoch': 1.53}
{'loss': 0.972, 'grad_norm': 0.9304382801055908, 'learning_rate': 0.00019023554603854389, 'epoch': 1.54}
{'loss': 0.8626, 'grad_norm': 0.8902872800827026, 'learning_rate': 0.00019014989293361884, 'epoch': 1.56}
{'loss': 1.0269, 'grad_norm': 1.0813809633255005, 'learning_rate': 0.00019006423982869378, 'epoch': 1.57}
{'loss': 0.957, 'grad_norm': 0.9317368268966675, 'learning_rate': 0.00018997858672376873, 'epoch': 1.58}
{'loss': 0.9704, 'grad_norm': 1.0434590578079224, 'learning_rate': 0.00018989293361884368, 'epoch': 1.6}
{'loss': 1.0046, 'grad_norm': 0.9594260454177856, 'learning_rate': 0.00018980728051391863, 'epoch': 1.61}
{'loss': 0.8726, 'grad_norm': 0.9636268019676208, 'learning_rate': 0.00018972162740899358, 'epoch': 1.62}
{'loss': 0.9149, 'grad_norm': 0.8992329835891724, 'learning_rate': 0.00018963597430406853, 'epoch': 1.63}
{'loss': 1.0045, 'grad_norm': 0.9604648947715759, 'learning_rate': 0.00018955032119914348, 'epoch': 1.65}
{'loss': 1.1958, 'grad_norm': 0.9596730470657349, 'learning_rate': 0.00018946466809421843, 'epoch': 1.66}
{'loss': 1.1457, 'grad_norm': 0.9364351630210876, 'learning_rate': 0.00018937901498929338, 'epoch': 1.67}
{'loss': 0.9758, 'grad_norm': 1.0140262842178345, 'learning_rate': 0.00018929336188436833, 'epoch': 1.69}
{'loss': 0.8748, 'grad_norm': 1.0455753803253174, 'learning_rate': 0.00018920770877944328, 'epoch': 1.7}
{'loss': 1.016, 'grad_norm': 0.8654254674911499, 'learning_rate': 0.00018912205567451823, 'epoch': 1.71}
{'loss': 1.012, 'grad_norm': 0.960712194442749, 'learning_rate': 0.00018903640256959315, 'epoch': 1.72}
{'loss': 0.8955, 'grad_norm': 0.8932874202728271, 'learning_rate': 0.0001889507494646681, 'epoch': 1.74}
{'loss': 1.0984, 'grad_norm': 1.0065388679504395, 'learning_rate': 0.00018886509635974305, 'epoch': 1.75}
{'loss': 0.97, 'grad_norm': 0.952701985836029, 'learning_rate': 0.000188779443254818, 'epoch': 1.76}
{'loss': 1.0266, 'grad_norm': 0.9456019997596741, 'learning_rate': 0.00018869379014989295, 'epoch': 1.78}
{'loss': 1.1118, 'grad_norm': 0.9758304953575134, 'learning_rate': 0.0001886081370449679, 'epoch': 1.79}
{'loss': 0.7903, 'grad_norm': 0.7912306785583496, 'learning_rate': 0.00018852248394004285, 'epoch': 1.8}
{'loss': 1.1308, 'grad_norm': 0.9735399484634399, 'learning_rate': 0.0001884368308351178, 'epoch': 1.82}
{'loss': 1.1491, 'grad_norm': 0.9224629998207092, 'learning_rate': 0.00018835117773019272, 'epoch': 1.83}
{'loss': 0.8444, 'grad_norm': 0.8106479048728943, 'learning_rate': 0.00018826552462526767, 'epoch': 1.84}
{'loss': 1.0045, 'grad_norm': 0.9186124205589294, 'learning_rate': 0.00018817987152034262, 'epoch': 1.85}
{'loss': 0.9443, 'grad_norm': 0.8844416737556458, 'learning_rate': 0.00018809421841541757, 'epoch': 1.87}
{'loss': 1.1358, 'grad_norm': 0.9558049440383911, 'learning_rate': 0.00018800856531049252, 'epoch': 1.88}
{'loss': 1.005, 'grad_norm': 0.9684930443763733, 'learning_rate': 0.00018792291220556747, 'epoch': 1.89}
{'loss': 0.9558, 'grad_norm': 0.959004819393158, 'learning_rate': 0.00018783725910064241, 'epoch': 1.91}
{'loss': 0.9323, 'grad_norm': 0.9454532861709595, 'learning_rate': 0.00018775160599571734, 'epoch': 1.92}
{'loss': 1.1012, 'grad_norm': 0.9545742273330688, 'learning_rate': 0.00018766595289079229, 'epoch': 1.93}
{'loss': 1.0096, 'grad_norm': 0.9355003237724304, 'learning_rate': 0.00018758029978586724, 'epoch': 1.94}
{'loss': 0.9982, 'grad_norm': 0.9315934777259827, 'learning_rate': 0.00018749464668094218, 'epoch': 1.96}
{'loss': 0.9364, 'grad_norm': 0.8201633095741272, 'learning_rate': 0.00018740899357601713, 'epoch': 1.97}
{'loss': 1.0406, 'grad_norm': 0.9398329854011536, 'learning_rate': 0.00018732334047109208, 'epoch': 1.98}
{'loss': 0.9232, 'grad_norm': 0.7514779567718506, 'learning_rate': 0.00018723768736616703, 'epoch': 2.0}
{'loss': 0.9668, 'grad_norm': 2.5943715572357178, 'learning_rate': 0.00018715203426124198, 'epoch': 2.0}
{'loss': 0.6011, 'grad_norm': 0.8532241582870483, 'learning_rate': 0.0001870663811563169, 'epoch': 2.01}
{'loss': 0.5652, 'grad_norm': 0.875012993812561, 'learning_rate': 0.00018698072805139185, 'epoch': 2.03}
{'loss': 0.5494, 'grad_norm': 0.8792259693145752, 'learning_rate': 0.0001868950749464668, 'epoch': 2.04}
{'loss': 0.5709, 'grad_norm': 0.885016918182373, 'learning_rate': 0.00018680942184154175, 'epoch': 2.05}
{'loss': 0.539, 'grad_norm': 1.0171616077423096, 'learning_rate': 0.00018672376873661673, 'epoch': 2.06}
{'loss': 0.5391, 'grad_norm': 1.0663142204284668, 'learning_rate': 0.00018663811563169168, 'epoch': 2.08}
{'loss': 0.6338, 'grad_norm': 1.290639042854309, 'learning_rate': 0.0001865524625267666, 'epoch': 2.09}
{'loss': 0.5498, 'grad_norm': 1.167702078819275, 'learning_rate': 0.00018646680942184155, 'epoch': 2.1}
{'loss': 0.5764, 'grad_norm': 1.207558274269104, 'learning_rate': 0.0001863811563169165, 'epoch': 2.12}
{'loss': 0.436, 'grad_norm': 1.276573896408081, 'learning_rate': 0.00018629550321199145, 'epoch': 2.13}
{'loss': 0.6688, 'grad_norm': 1.5653142929077148, 'learning_rate': 0.0001862098501070664, 'epoch': 2.14}
{'loss': 0.5658, 'grad_norm': 1.2258868217468262, 'learning_rate': 0.00018612419700214135, 'epoch': 2.16}
{'loss': 0.5079, 'grad_norm': 1.2083967924118042, 'learning_rate': 0.0001860385438972163, 'epoch': 2.17}
{'loss': 0.5029, 'grad_norm': 1.2238770723342896, 'learning_rate': 0.00018595289079229125, 'epoch': 2.18}
{'loss': 0.5111, 'grad_norm': 1.1185226440429688, 'learning_rate': 0.00018586723768736617, 'epoch': 2.19}
{'loss': 0.6089, 'grad_norm': 1.2316855192184448, 'learning_rate': 0.00018578158458244112, 'epoch': 2.21}
{'loss': 0.4682, 'grad_norm': 1.0682724714279175, 'learning_rate': 0.00018569593147751607, 'epoch': 2.22}
{'loss': 0.4479, 'grad_norm': 0.9613194465637207, 'learning_rate': 0.00018561027837259102, 'epoch': 2.23}
{'loss': 0.5124, 'grad_norm': 1.0910505056381226, 'learning_rate': 0.00018552462526766597, 'epoch': 2.25}
{'loss': 0.417, 'grad_norm': 0.9750754833221436, 'learning_rate': 0.00018543897216274092, 'epoch': 2.26}
{'loss': 0.51, 'grad_norm': 0.9613450169563293, 'learning_rate': 0.00018535331905781587, 'epoch': 2.27}
{'loss': 0.5103, 'grad_norm': 1.1790027618408203, 'learning_rate': 0.00018526766595289081, 'epoch': 2.28}
{'loss': 0.4896, 'grad_norm': 1.1085693836212158, 'learning_rate': 0.00018518201284796574, 'epoch': 2.3}
{'loss': 0.6256, 'grad_norm': 1.1530624628067017, 'learning_rate': 0.00018509635974304069, 'epoch': 2.31}
{'loss': 0.4194, 'grad_norm': 1.1171635389328003, 'learning_rate': 0.00018501070663811564, 'epoch': 2.32}
{'loss': 0.4742, 'grad_norm': 1.3102152347564697, 'learning_rate': 0.00018492505353319058, 'epoch': 2.34}
{'loss': 0.541, 'grad_norm': 1.1905373334884644, 'learning_rate': 0.00018483940042826553, 'epoch': 2.35}
{'loss': 0.5052, 'grad_norm': 1.07914400100708, 'learning_rate': 0.00018475374732334048, 'epoch': 2.36}
{'loss': 0.4066, 'grad_norm': 1.1634211540222168, 'learning_rate': 0.00018466809421841543, 'epoch': 2.38}
{'loss': 0.6132, 'grad_norm': 1.3520902395248413, 'learning_rate': 0.00018458244111349036, 'epoch': 2.39}
{'loss': 0.4322, 'grad_norm': 1.0835766792297363, 'learning_rate': 0.0001844967880085653, 'epoch': 2.4}
{'loss': 0.5345, 'grad_norm': 1.2755212783813477, 'learning_rate': 0.00018441113490364025, 'epoch': 2.41}
{'loss': 0.602, 'grad_norm': 1.2508246898651123, 'learning_rate': 0.0001843254817987152, 'epoch': 2.43}
{'loss': 0.4819, 'grad_norm': 1.0467476844787598, 'learning_rate': 0.00018423982869379015, 'epoch': 2.44}
{'loss': 0.4585, 'grad_norm': 0.9597902297973633, 'learning_rate': 0.0001841541755888651, 'epoch': 2.45}
{'loss': 0.4863, 'grad_norm': 1.1957930326461792, 'learning_rate': 0.00018406852248394005, 'epoch': 2.47}
{'loss': 0.4873, 'grad_norm': 1.0431104898452759, 'learning_rate': 0.000183982869379015, 'epoch': 2.48}
{'loss': 0.5439, 'grad_norm': 1.0918775796890259, 'learning_rate': 0.00018389721627408992, 'epoch': 2.49}
{'loss': 0.598, 'grad_norm': 1.153835654258728, 'learning_rate': 0.0001838115631691649, 'epoch': 2.5}
{'loss': 0.6929, 'grad_norm': 1.1955565214157104, 'learning_rate': 0.00018372591006423985, 'epoch': 2.52}
{'loss': 0.6508, 'grad_norm': 1.3363765478134155, 'learning_rate': 0.0001836402569593148, 'epoch': 2.53}
{'loss': 0.471, 'grad_norm': 1.0111531019210815, 'learning_rate': 0.00018355460385438975, 'epoch': 2.54}
{'loss': 0.4369, 'grad_norm': 0.9459725022315979, 'learning_rate': 0.0001834689507494647, 'epoch': 2.56}
{'loss': 0.4318, 'grad_norm': 1.0342642068862915, 'learning_rate': 0.00018338329764453962, 'epoch': 2.57}
{'loss': 0.4928, 'grad_norm': 0.9794941544532776, 'learning_rate': 0.00018329764453961457, 'epoch': 2.58}
{'loss': 0.5549, 'grad_norm': 1.2191619873046875, 'learning_rate': 0.00018321199143468952, 'epoch': 2.6}
{'loss': 0.5568, 'grad_norm': 1.1901639699935913, 'learning_rate': 0.00018312633832976447, 'epoch': 2.61}
{'loss': 0.6737, 'grad_norm': 1.518870234489441, 'learning_rate': 0.00018304068522483942, 'epoch': 2.62}
{'loss': 0.5098, 'grad_norm': 1.1129999160766602, 'learning_rate': 0.00018295503211991437, 'epoch': 2.63}
{'loss': 0.497, 'grad_norm': 1.1571177244186401, 'learning_rate': 0.00018286937901498932, 'epoch': 2.65}
{'loss': 0.5662, 'grad_norm': 1.1487030982971191, 'learning_rate': 0.00018278372591006427, 'epoch': 2.66}
{'loss': 0.5981, 'grad_norm': 1.143234372138977, 'learning_rate': 0.0001826980728051392, 'epoch': 2.67}
{'loss': 0.4525, 'grad_norm': 1.072601318359375, 'learning_rate': 0.00018261241970021414, 'epoch': 2.69}
{'loss': 0.5269, 'grad_norm': 1.1406654119491577, 'learning_rate': 0.00018252676659528909, 'epoch': 2.7}
{'loss': 0.5938, 'grad_norm': 1.1432470083236694, 'learning_rate': 0.00018244111349036404, 'epoch': 2.71}
{'loss': 0.6698, 'grad_norm': 1.1072719097137451, 'learning_rate': 0.00018235546038543898, 'epoch': 2.72}
{'loss': 0.4375, 'grad_norm': 1.0432664155960083, 'learning_rate': 0.00018226980728051393, 'epoch': 2.74}
{'loss': 0.6658, 'grad_norm': 1.214302659034729, 'learning_rate': 0.00018218415417558888, 'epoch': 2.75}
{'loss': 0.4588, 'grad_norm': 0.9886688590049744, 'learning_rate': 0.0001820985010706638, 'epoch': 2.76}
{'loss': 0.4658, 'grad_norm': 1.0085222721099854, 'learning_rate': 0.00018201284796573876, 'epoch': 2.78}
{'loss': 0.5324, 'grad_norm': 1.0661648511886597, 'learning_rate': 0.0001819271948608137, 'epoch': 2.79}
{'loss': 0.6266, 'grad_norm': 1.0779719352722168, 'learning_rate': 0.00018184154175588865, 'epoch': 2.8}
{'loss': 0.496, 'grad_norm': 1.0309950113296509, 'learning_rate': 0.0001817558886509636, 'epoch': 2.82}
{'loss': 0.4892, 'grad_norm': 0.9932238459587097, 'learning_rate': 0.00018167023554603855, 'epoch': 2.83}
{'loss': 0.6533, 'grad_norm': 1.2192320823669434, 'learning_rate': 0.0001815845824411135, 'epoch': 2.84}
{'loss': 0.4593, 'grad_norm': 1.024416446685791, 'learning_rate': 0.00018149892933618845, 'epoch': 2.85}
{'loss': 0.5092, 'grad_norm': 1.0710725784301758, 'learning_rate': 0.00018141327623126337, 'epoch': 2.87}
{'loss': 0.5691, 'grad_norm': 1.1619418859481812, 'learning_rate': 0.00018132762312633832, 'epoch': 2.88}
{'loss': 0.6676, 'grad_norm': 1.2920273542404175, 'learning_rate': 0.00018124197002141327, 'epoch': 2.89}
{'loss': 0.5639, 'grad_norm': 1.3008610010147095, 'learning_rate': 0.00018115631691648822, 'epoch': 2.91}
{'loss': 0.5638, 'grad_norm': 1.1265655755996704, 'learning_rate': 0.00018107066381156317, 'epoch': 2.92}
{'loss': 0.4909, 'grad_norm': 1.0244802236557007, 'learning_rate': 0.00018098501070663812, 'epoch': 2.93}
{'loss': 0.6476, 'grad_norm': 1.194499135017395, 'learning_rate': 0.00018089935760171307, 'epoch': 2.94}
{'loss': 0.5677, 'grad_norm': 1.1454342603683472, 'learning_rate': 0.00018081370449678802, 'epoch': 2.96}
{'loss': 0.4335, 'grad_norm': 0.9008643627166748, 'learning_rate': 0.00018072805139186297, 'epoch': 2.97}
{'loss': 0.5778, 'grad_norm': 1.1815097332000732, 'learning_rate': 0.00018064239828693792, 'epoch': 2.98}
{'loss': 0.5717, 'grad_norm': 1.1353974342346191, 'learning_rate': 0.00018055674518201287, 'epoch': 3.0}
{'loss': 0.352, 'grad_norm': 2.20346736907959, 'learning_rate': 0.00018047109207708782, 'epoch': 3.0}
